date,sku,qty,amount,region
2025-07-03,WIDGET-1,5,298.97,west
2025-08-04,WIDGET-PRO,9,749.04,east
2025-09-05,CABLE-USB,10,585.98,north
2025-10-06,DOCK-HDMI,4,172.61,south
2025-11-07,KEYCAP-SET,8,451.79,eu
2025-12-08,INVOICE-PAD,3,189.44,apac
2025-01-09,WIDGET-1,5,289.94,west
2025-02-10,WIDGET-PRO,8,383.04,east
2025-03-11,CABLE-USB,4,124.12,north
2025-04-12,DOCK-HDMI,11,563.17,south
2025-05-13,KEYCAP-SET,12,759.61,eu
2025-06-14,INVOICE-PAD,6,516.03,apac
2025-07-15,WIDGET-1,13,452.66,west
2025-08-16,WIDGET-PRO,7,197.87,east
2025-09-17,CABLE-USB,11,644.76,north
2025-10-18,DOCK-HDMI,6,190.50,south
2025-11-19,KEYCAP-SET,3,188.10,eu
2025-12-20,INVOICE-PAD,13,203.31,apac
2025-01-21,WIDGET-1,1,20.81,west
2025-02-22,WIDGET-PRO,5,257.91,east
2025-03-23,CABLE-USB,10,696.64,north
2025-04-24,DOCK-HDMI,6,205.96,south
2025-05-25,KEYCAP-SET,8,232.22,eu
2025-06-26,INVOICE-PAD,2,152.40,apac
2025-07-27,WIDGET-1,8,29.54,west
2025-08-28,WIDGET-PRO,12,244.95,east
2025-09-01,CABLE-USB,9,672.20,north
2025-10-02,DOCK-HDMI,2,113.30,south
2025-11-03,KEYCAP-SET,8,481.90,eu
2025-12-04,INVOICE-PAD,2,70.69,apac
2025-01-05,WIDGET-1,8,36.09,west
2025-02-06,WIDGET-PRO,3,25.86,east
2025-03-07,CABLE-USB,1,48.76,north
2025-04-08,DOCK-HDMI,4,92.88,south
2025-05-09,KEYCAP-SET,13,169.95,eu
2025-06-10,INVOICE-PAD,7,205.53,apac
2025-07-11,WIDGET-1,11,136.11,west
2025-08-12,WIDGET-PRO,2,96.15,east
2025-09-13,CABLE-USB,3,32.45,north
2025-10-14,DOCK-HDMI,9,200.65,south
2025-11-15,KEYCAP-SET,8,281.02,eu
2025-12-16,INVOICE-PAD,7,437.23,apac
2025-01-17,WIDGET-1,7,595.03,west
2025-02-18,WIDGET-PRO,3,192.54,east
2025-03-19,CABLE-USB,4,252.54,north
2025-04-20,DOCK-HDMI,7,47.36,south
2025-05-21,KEYCAP-SET,12,396.54,eu
2025-06-22,INVOICE-PAD,13,1057.14,apac
2025-07-23,WIDGET-1,7,605.12,west
2025-08-24,WIDGET-PRO,9,314.49,east
2025-09-25,CABLE-USB,10,230.40,north
2025-10-26,DOCK-HDMI,13,167.74,south
2025-11-27,KEYCAP-SET,4,16.28,eu
2025-12-28,INVOICE-PAD,12,1046.49,apac
2025-01-01,WIDGET-1,6,521.95,west
2025-02-02,WIDGET-PRO,6,409.36,east
2025-03-03,CABLE-USB,5,366.80,north
2025-04-04,DOCK-HDMI,1,32.15,south
2025-05-05,KEYCAP-SET,3,163.17,eu
2025-06-06,INVOICE-PAD,2,57.99,apac
2025-07-07,WIDGET-1,3,170.54,west
2025-08-08,WIDGET-PRO,1,10.10,east
2025-09-09,CABLE-USB,12,728.72,north
2025-10-10,DOCK-HDMI,11,342.14,south
2025-11-11,KEYCAP-SET,8,461.15,eu
2025-12-12,INVOICE-PAD,3,30.49,apac
2025-01-13,WIDGET-1,10,554.67,west
2025-02-14,WIDGET-PRO,7,67.42,east
2025-03-15,CABLE-USB,11,205.72,north
2025-04-16,DOCK-HDMI,4,154.37,south
2025-05-17,KEYCAP-SET,6,282.55,eu
2025-06-18,INVOICE-PAD,7,94.33,apac
2025-07-19,WIDGET-1,4,47.46,west
2025-08-20,WIDGET-PRO,3,104.57,east
2025-09-21,CABLE-USB,2,108.67,north
2025-10-22,DOCK-HDMI,4,240.17,south
2025-11-23,KEYCAP-SET,7,498.03,eu
2025-12-24,INVOICE-PAD,5,352.82,apac
2025-01-25,WIDGET-1,1,61.68,west
2025-02-26,WIDGET-PRO,4,347.62,east
2025-03-27,CABLE-USB,4,276.12,north
2025-04-28,DOCK-HDMI,9,518.20,south
2025-05-01,KEYCAP-SET,5,60.20,eu
2025-06-02,INVOICE-PAD,11,468.76,apac
2025-07-03,WIDGET-1,13,1101.98,west
2025-08-04,WIDGET-PRO,1,55.62,east
2025-09-05,CABLE-USB,12,149.22,north
2025-10-06,DOCK-HDMI,13,565.25,south
2025-11-07,KEYCAP-SET,10,501.51,eu
2025-12-08,INVOICE-PAD,1,16.13,apac
2025-01-09,WIDGET-1,10,552.90,west
2025-02-10,WIDGET-PRO,11,185.70,east
2025-03-11,CABLE-USB,4,103.93,north
2025-04-12,DOCK-HDMI,6,515.24,south
2025-05-13,KEYCAP-SET,7,37.03,eu
2025-06-14,INVOICE-PAD,9,608.35,apac
2025-07-15,WIDGET-1,7,407.89,west
2025-08-16,WIDGET-PRO,10,718.31,east
2025-09-17,CABLE-USB,12,791.59,north
2025-10-18,DOCK-HDMI,12,542.16,south
2025-11-19,KEYCAP-SET,1,32.47,eu
2025-12-20,INVOICE-PAD,6,354.57,apac
2025-01-21,WIDGET-1,10,499.53,west
2025-02-22,WIDGET-PRO,2,52.41,east
2025-03-23,CABLE-USB,13,1046.76,north
2025-04-24,DOCK-HDMI,12,681.62,south
2025-05-25,KEYCAP-SET,12,592.24,eu
2025-06-26,INVOICE-PAD,5,206.06,apac
2025-07-27,WIDGET-1,9,510.94,west
2025-08-28,WIDGET-PRO,4,254.44,east
2025-09-01,CABLE-USB,3,128.22,north
2025-10-02,DOCK-HDMI,6,328.06,south
2025-11-03,KEYCAP-SET,13,611.13,eu
2025-12-04,INVOICE-PAD,12,405.59,apac
2025-01-05,WIDGET-1,11,597.45,west
2025-02-06,WIDGET-PRO,12,221.44,east
2025-03-07,CABLE-USB,9,382.54,north
2025-04-08,DOCK-HDMI,1,39.33,south
2025-05-09,KEYCAP-SET,5,278.94,eu
2025-06-10,INVOICE-PAD,1,69.58,apac
2025-07-11,WIDGET-1,5,137.39,west
2025-08-12,WIDGET-PRO,4,306.68,east
2025-09-13,CABLE-USB,8,66.89,north
2025-10-14,DOCK-HDMI,2,86.86,south
2025-11-15,KEYCAP-SET,7,578.69,eu
2025-12-16,INVOICE-PAD,4,136.11,apac
2025-01-17,WIDGET-1,9,312.62,west
2025-02-18,WIDGET-PRO,3,93.08,east
2025-03-19,CABLE-USB,9,499.76,north
2025-04-20,DOCK-HDMI,13,985.79,south
2025-05-21,KEYCAP-SET,8,384.05,eu
2025-06-22,INVOICE-PAD,8,695.38,apac
2025-07-23,WIDGET-1,10,794.05,west
2025-08-24,WIDGET-PRO,4,278.47,east
2025-09-25,CABLE-USB,12,446.85,north
2025-10-26,DOCK-HDMI,12,686.45,south
2025-11-27,KEYCAP-SET,4,108.76,eu
2025-12-28,INVOICE-PAD,12,874.52,apac
2025-01-01,WIDGET-1,1,78.28,west
2025-02-02,WIDGET-PRO,10,759.21,east
2025-03-03,CABLE-USB,13,595.03,north
2025-04-04,DOCK-HDMI,13,733.33,south
2025-05-05,KEYCAP-SET,11,925.75,eu
2025-06-06,INVOICE-PAD,9,733.08,apac
2025-07-07,WIDGET-1,1,37.41,west
2025-08-08,WIDGET-PRO,5,63.19,east
2025-09-09,CABLE-USB,7,96.77,north
2025-10-10,DOCK-HDMI,1,61.54,south
2025-11-11,KEYCAP-SET,4,144.74,eu
2025-12-12,INVOICE-PAD,11,963.80,apac
2025-01-13,WIDGET-1,12,756.54,west
2025-02-14,WIDGET-PRO,11,62.79,east
2025-03-15,CABLE-USB,11,959.45,north
2025-04-16,DOCK-HDMI,8,363.57,south
2025-05-17,KEYCAP-SET,2,139.91,eu
2025-06-18,INVOICE-PAD,3,95.23,apac
2025-07-19,WIDGET-1,12,994.48,west
2025-08-20,WIDGET-PRO,11,665.52,east
2025-09-21,CABLE-USB,2,127.46,north
2025-10-22,DOCK-HDMI,2,110.56,south
2025-11-23,KEYCAP-SET,3,152.39,eu
2025-12-24,INVOICE-PAD,5,350.16,apac
2025-01-25,WIDGET-1,9,689.62,west
2025-02-26,WIDGET-PRO,9,475.22,east
2025-03-27,CABLE-USB,4,283.72,north
2025-04-28,DOCK-HDMI,9,197.95,south
2025-05-01,KEYCAP-SET,9,96.60,eu
2025-06-02,INVOICE-PAD,1,31.20,apac
2025-07-03,WIDGET-1,10,809.59,west
2025-08-04,WIDGET-PRO,13,261.76,east
2025-09-05,CABLE-USB,1,23.77,north
2025-10-06,DOCK-HDMI,6,82.68,south
2025-11-07,KEYCAP-SET,13,800.41,eu
2025-12-08,INVOICE-PAD,10,93.01,apac
2025-01-09,WIDGET-1,11,148.91,west
2025-02-10,WIDGET-PRO,7,512.94,east
2025-03-11,CABLE-USB,4,167.83,north
2025-04-12,DOCK-HDMI,13,389.72,south
2025-05-13,KEYCAP-SET,7,477.91,eu
2025-06-14,INVOICE-PAD,5,271.63,apac
2025-07-15,WIDGET-1,7,382.50,west
2025-08-16,WIDGET-PRO,1,48.89,east
2025-09-17,CABLE-USB,5,50.66,north
2025-10-18,DOCK-HDMI,10,183.27,south
2025-11-19,KEYCAP-SET,10,880.00,eu
2025-12-20,INVOICE-PAD,2,104.00,apac
2025-01-21,WIDGET-1,13,924.13,west
2025-02-22,WIDGET-PRO,5,48.64,east
2025-03-23,CABLE-USB,1,38.21,north
2025-04-24,DOCK-HDMI,2,120.54,south
2025-05-25,KEYCAP-SET,12,1037.22,eu
2025-06-26,INVOICE-PAD,4,83.49,apac
2025-07-27,WIDGET-1,5,218.53,west
2025-08-28,WIDGET-PRO,12,198.83,east
2025-09-01,CABLE-USB,6,317.88,north
2025-10-02,DOCK-HDMI,10,687.53,south
2025-11-03,KEYCAP-SET,4,333.44,eu
2025-12-04,INVOICE-PAD,5,298.24,apac
2025-01-05,WIDGET-1,9,289.73,west
2025-02-06,WIDGET-PRO,1,5.82,east
2025-03-07,CABLE-USB,13,1087.95,north
2025-04-08,DOCK-HDMI,6,309.38,south
2025-05-09,KEYCAP-SET,7,44.15,eu
2025-06-10,INVOICE-PAD,7,224.86,apac
2025-07-11,WIDGET-1,4,55.77,west
2025-08-12,WIDGET-PRO,8,116.25,east
2025-09-13,CABLE-USB,8,465.59,north
2025-10-14,DOCK-HDMI,10,644.96,south
2025-11-15,KEYCAP-SET,6,109.70,eu
2025-12-16,INVOICE-PAD,4,324.58,apac
2025-01-17,WIDGET-1,10,250.26,west
2025-02-18,WIDGET-PRO,8,494.83,east
2025-03-19,CABLE-USB,10,106.31,north
2025-04-20,DOCK-HDMI,12,200.39,south
2025-05-21,KEYCAP-SET,13,407.69,eu
2025-06-22,INVOICE-PAD,6,143.04,apac
2025-07-23,WIDGET-1,2,12.42,west
2025-08-24,WIDGET-PRO,1,87.46,east
2025-09-25,CABLE-USB,12,477.58,north
2025-10-26,DOCK-HDMI,2,138.49,south
2025-11-27,KEYCAP-SET,1,50.54,eu
2025-12-28,INVOICE-PAD,13,688.39,apac
2025-01-01,WIDGET-1,1,32.31,west
2025-02-02,WIDGET-PRO,12,354.44,east
2025-03-03,CABLE-USB,6,345.38,north
2025-04-04,DOCK-HDMI,8,466.05,south
2025-05-05,KEYCAP-SET,13,869.88,eu
2025-06-06,INVOICE-PAD,8,43.35,apac
2025-07-07,WIDGET-1,5,179.08,west
2025-08-08,WIDGET-PRO,10,42.10,east
2025-09-09,CABLE-USB,1,37.03,north
2025-10-10,DOCK-HDMI,4,191.88,south
2025-11-11,KEYCAP-SET,5,352.79,eu
2025-12-12,INVOICE-PAD,6,47.44,apac
2025-01-13,WIDGET-1,7,555.06,west
2025-02-14,WIDGET-PRO,6,53.43,east
2025-03-15,CABLE-USB,6,40.59,north
2025-04-16,DOCK-HDMI,2,58.09,south
2025-05-17,KEYCAP-SET,6,266.37,eu
2025-06-18,INVOICE-PAD,12,949.22,apac
2025-07-19,WIDGET-1,1,82.77,west
2025-08-20,WIDGET-PRO,12,1048.89,east
2025-09-21,CABLE-USB,2,58.57,north
2025-10-22,DOCK-HDMI,2,163.71,south
2025-11-23,KEYCAP-SET,2,88.37,eu
2025-12-24,INVOICE-PAD,4,14.49,apac
2025-01-25,WIDGET-1,7,91.77,west
2025-02-26,WIDGET-PRO,1,81.16,east
2025-03-27,CABLE-USB,3,101.27,north
2025-04-28,DOCK-HDMI,12,808.41,south
2025-05-01,KEYCAP-SET,1,13.44,eu
2025-06-02,INVOICE-PAD,2,92.68,apac
2025-07-03,WIDGET-1,10,565.16,west
2025-08-04,WIDGET-PRO,2,146.93,east
2025-09-05,CABLE-USB,11,127.61,north
2025-10-06,DOCK-HDMI,8,397.85,south
2025-11-07,KEYCAP-SET,10,44.68,eu
2025-12-08,INVOICE-PAD,11,926.25,apac
2025-01-09,WIDGET-1,2,121.98,west
2025-02-10,WIDGET-PRO,7,264.07,east
2025-03-11,CABLE-USB,5,431.07,north
2025-04-12,DOCK-HDMI,8,669.78,south
2025-05-13,KEYCAP-SET,7,239.33,eu
2025-06-14,INVOICE-PAD,3,216.31,apac
2025-07-15,WIDGET-1,10,715.65,west
2025-08-16,WIDGET-PRO,13,690.74,east
2025-09-17,CABLE-USB,13,291.11,north
2025-10-18,DOCK-HDMI,8,103.29,south
2025-11-19,KEYCAP-SET,6,531.36,eu
2025-12-20,INVOICE-PAD,13,629.60,apac
2025-01-21,WIDGET-1,6,430.37,west
2025-02-22,WIDGET-PRO,3,218.99,east
2025-03-23,CABLE-USB,4,84.02,north
2025-04-24,DOCK-HDMI,8,476.21,south
2025-05-25,KEYCAP-SET,6,427.03,eu
2025-06-26,INVOICE-PAD,2,142.79,apac
2025-07-27,WIDGET-1,11,953.27,west
2025-08-28,WIDGET-PRO,13,931.88,east
2025-09-01,CABLE-USB,8,594.90,north
2025-10-02,DOCK-HDMI,5,433.02,south
2025-11-03,KEYCAP-SET,4,49.98,eu
2025-12-04,INVOICE-PAD,1,35.69,apac
2025-01-05,WIDGET-1,4,162.95,west
2025-02-06,WIDGET-PRO,11,117.05,east
2025-03-07,CABLE-USB,3,94.91,north
2025-04-08,DOCK-HDMI,5,190.60,south
2025-05-09,KEYCAP-SET,9,717.96,eu
2025-06-10,INVOICE-PAD,3,42.85,apac
2025-07-11,WIDGET-1,7,115.23,west
2025-08-12,WIDGET-PRO,5,276.33,east
2025-09-13,CABLE-USB,7,241.70,north
2025-10-14,DOCK-HDMI,6,281.16,south
2025-11-15,KEYCAP-SET,11,721.25,eu
2025-12-16,INVOICE-PAD,11,637.23,apac
2025-01-17,WIDGET-1,1,74.13,west
2025-02-18,WIDGET-PRO,10,147.17,east
2025-03-19,CABLE-USB,13,765.28,north
2025-04-20,DOCK-HDMI,12,263.51,south
2025-05-21,KEYCAP-SET,7,601.92,eu
2025-06-22,INVOICE-PAD,9,794.43,apac
2025-07-23,WIDGET-1,4,106.20,west
2025-08-24,WIDGET-PRO,6,259.22,east
2025-09-25,CABLE-USB,10,315.23,north
2025-10-26,DOCK-HDMI,5,292.63,south
2025-11-27,KEYCAP-SET,1,26.28,eu
2025-12-28,INVOICE-PAD,12,111.82,apac
2025-01-01,WIDGET-1,8,387.13,west
2025-02-02,WIDGET-PRO,3,119.44,east
2025-03-03,CABLE-USB,4,243.15,north
2025-04-04,DOCK-HDMI,10,169.22,south
2025-05-05,KEYCAP-SET,7,96.49,eu
2025-06-06,INVOICE-PAD,4,245.42,apac
2025-07-07,WIDGET-1,6,143.74,west
2025-08-08,WIDGET-PRO,5,340.71,east
2025-09-09,CABLE-USB,1,48.52,north
2025-10-10,DOCK-HDMI,4,57.88,south
2025-11-11,KEYCAP-SET,5,91.45,eu
2025-12-12,INVOICE-PAD,9,94.85,apac
2025-01-13,WIDGET-1,13,447.10,west
2025-02-14,WIDGET-PRO,5,262.36,east
2025-03-15,CABLE-USB,2,115.23,north
2025-04-16,DOCK-HDMI,4,49.96,south
2025-05-17,KEYCAP-SET,12,968.94,eu
2025-06-18,INVOICE-PAD,12,695.53,apac
2025-07-19,WIDGET-1,11,280.40,west
2025-08-20,WIDGET-PRO,13,847.53,east
2025-09-21,CABLE-USB,5,56.57,north
2025-10-22,DOCK-HDMI,13,939.19,south
2025-11-23,KEYCAP-SET,8,63.44,eu
2025-12-24,INVOICE-PAD,7,204.69,apac
2025-01-25,WIDGET-1,8,296.01,west
2025-02-26,WIDGET-PRO,3,16.21,east
2025-03-27,CABLE-USB,1,26.35,north
2025-04-28,DOCK-HDMI,11,134.54,south
2025-05-01,KEYCAP-SET,10,149.92,eu
2025-06-02,INVOICE-PAD,12,200.57,apac
2025-07-03,WIDGET-1,9,236.11,west
2025-08-04,WIDGET-PRO,10,507.72,east
2025-09-05,CABLE-USB,5,70.30,north
2025-10-06,DOCK-HDMI,12,71.68,south
2025-11-07,KEYCAP-SET,12,222.08,eu
2025-12-08,INVOICE-PAD,6,292.70,apac
2025-01-09,WIDGET-1,6,54.15,west
2025-02-10,WIDGET-PRO,9,669.77,east
2025-03-11,CABLE-USB,8,177.46,north
2025-04-12,DOCK-HDMI,8,651.36,south
2025-05-13,KEYCAP-SET,2,10.17,eu
2025-06-14,INVOICE-PAD,5,346.50,apac
2025-07-15,WIDGET-1,9,661.45,west
2025-08-16,WIDGET-PRO,1,24.63,east
2025-09-17,CABLE-USB,1,63.65,north
2025-10-18,DOCK-HDMI,6,242.15,south
2025-11-19,KEYCAP-SET,2,49.11,eu
2025-12-20,INVOICE-PAD,6,136.46,apac
2025-01-21,WIDGET-1,7,438.69,west
2025-02-22,WIDGET-PRO,8,625.98,east
2025-03-23,CABLE-USB,5,279.82,north
2025-04-24,DOCK-HDMI,4,305.84,south
2025-05-25,KEYCAP-SET,3,130.33,eu
2025-06-26,INVOICE-PAD,8,438.50,apac
2025-07-27,WIDGET-1,7,309.97,west
2025-08-28,WIDGET-PRO,11,638.60,east
2025-09-01,CABLE-USB,5,265.71,north
2025-10-02,DOCK-HDMI,13,332.28,south
2025-11-03,KEYCAP-SET,11,257.60,eu
2025-12-04,INVOICE-PAD,5,65.65,apac
2025-01-05,WIDGET-1,7,534.28,west
2025-02-06,WIDGET-PRO,2,42.95,east
